ds,yhat,yhat_lower,yhat_upper
2018-01-01,16377.532165548919,6226.212538790671,25768.433653524982
2018-02-01,11922.808129227788,2813.2869266433395,21297.93966783248
2018-03-01,31163.87064882127,22416.401338217194,40916.06512506729
2018-04-01,19817.13542468847,10977.338753155957,29179.680993841834
2018-05-01,21981.498429406034,12858.37397485356,31345.480551030443
2018-06-01,19089.60369446517,10007.32909112635,27853.90769020695
2018-07-01,21431.160810217727,12504.273305017203,30890.185318721633
2018-08-01,22277.804834685456,13231.006574169602,32156.136217176045
2018-09-01,33157.6844474704,24143.806941546747,42007.95449827759
2018-10-01,26034.74358663987,16584.959598144378,34985.24740248663
2018-11-01,39438.90020671624,30076.63863210011,48561.10204976347
2018-12-01,35206.82073608,26471.608402091915,44380.131573260995
